GEBOMSCH;loccod;locomsch;X_WGS;Y_WGS;X_RD;Y_RD;Delwaq_ED;NZBGEM
Eems-Dollard;BOCHTVWTDVVA;Bocht van Watum dijkvoet VKA;6.877378;53.411058;254050;603650;;
Eems-Dollard;BOCHTVWTM;Bocht van Watum;6.944606;53.33606;258700;595400;Bocht_van_Watum;
Eems-Dollard;BOCHTVWTMDOT;Bocht van Watum midden oost;6.912004;53.350408;256495;596950;Bocht_Watum_mid_oost;
Eems-Dollard;BOCHTVWTMDWT;Bocht van Watum midden west;6.904676;53.374768;255950;599650;Bocht_Watum_mid_west;
Eems-Dollard;BOCHTVWTND;Bocht van Watum noord;6.89494;53.405717;255230;603080;Bocht_van_Watum_noor;
Eems-Dollard;BOCHTVWTOT;Bocht van Watum oost;6.940266;53.34061;258400;595900;;
Eems-Dollard;BOCHTVWTZD;Bocht van Watum zuid;6.959005;53.331487;259670;594912;Bocht_van_Watum_zuid;
Eems-Dollard;BORKKDZD;Borkum kwelder zuid;6.749346;53.580988;245180;622390;;
Eems-Dollard;DAM88;Dam 88;6.752497;53.466776;245630;609685;;
Eems-Dollard;DELFZBSD;Delfzijl badstrand;6.928602;53.337794;257630;595570;;
Eems-Dollard;DELFZBTHVN;Delfzijl buitenhaven;6.964743;53.322136;260075;593880;Delfzijl_buitenhaven;
Eems-Dollard;DELFZDSDP;Delfzijl, Damsterdiep;6.923314;53.328469;257300;594525;;
Eems-Dollard;DELFZL;Delfzijl;6.933787;53.327481;258000;594430;;
Eems-Dollard;DELFZZHVKNL;Delfzijl zeehavenkanaal;6.954489;53.323313;259389;593996;;
Eems-Dollard;DOEKGT;Doekegat;6.848389;53.467584;251995;609900;Doekegat;
Eems-Dollard;DOLLGTGT;Dollard Grote Gat;7.145544;53.310828;272150;592901;;
Eems-Dollard;DOLLHZD;Dollard Hoogzand;7.221974;53.305776;277257;592466;;
Eems-Dollard;DOLLMND;Dollardmond noord;7.065791;53.321945;266807;594011;;
Eems-Dollard;DOLLWT;Dollard west;7.121037;53.280229;270599;589457;;
Eems-Dollard;EEMSCTLE;Eemscentrale;6.884481;53.444403;254445;607370;Eemscentrale;
